Model Name,MSE Mean,MSE Std,RMSE Mean,RMSE Std,MAE Mean,MAE Std,MAPE Mean,MAPE Std,R2 Mean,R2 Std,Avg Epochs,Stop Reason plateau,Stop Reason overfitting
MLP_ReLU_64_32,107.7121810913086,34.85837936401367,10.214134216308594,1.839471697807312,8.222867012023926,1.5685726404190063,0.31110574896944465,0.06335693557185493,0.6201136231422424,0.10292768124591777,106.6,5.0,
MLP_LeakyReLU_64_32,126.32061767578125,15.550392150878906,11.218279838562012,0.68614661693573,9.062418937683105,0.5686777234077454,0.3481842938877998,0.024310286122636336,0.5449615359306336,0.042449989825185656,72.2,5.0,
MLP_GELU_64_32,51.532615661621094,8.253762245178223,7.157456874847412,0.5508414506912231,5.435758113861084,0.2541487216949463,0.17862828416652365,0.013337771459708056,0.8152139902114868,0.016189920869832154,163.8,5.0,
MLP_ReLU_128_64_32,30.958633422851562,5.625697135925293,5.540159225463867,0.5150384902954102,4.101120471954346,0.4063921868801117,0.13294891161632413,0.006081187408690014,0.8885424256324768,0.019772018027543893,314.2,,5.0
MLP_LeakyReLU_128_64_32,32.73451614379883,3.463649034500122,5.713530540466309,0.30013397336006165,4.228625297546387,0.2596958577632904,0.13862473336628792,0.0066348543258031405,0.8818398356437683,0.011515419237668937,248.0,,5.0
MLP_GELU_128_64_32,31.7779598236084,4.698563098907471,5.6228837966918945,0.4014213979244232,4.152799606323242,0.18464395403862,0.13885488261905343,0.006399008585632297,0.8860637903213501,0.007497687133789129,239.8,2.0,3.0
MLP_ReLU_256_128_64_32,34.97003936767578,10.123846054077148,5.851811408996582,0.8522560596466064,4.3119215965271,0.6929647326469421,0.13972399282470932,0.011032064342773432,0.8739494442939758,0.038883731379423504,213.8,,5.0
MLP_LeakyReLU_256_128_64_32,29.330886840820312,3.664856433868408,5.404847621917725,0.34425681829452515,3.899160385131836,0.25597044825553894,0.13137709697488295,0.011974019983203469,0.8940783023834229,0.013763709375850693,228.0,,5.0
MLP_GELU_256_128_64_32,29.313663482666016,3.4015231132507324,5.405004024505615,0.3155847191810608,4.011379718780518,0.2576679587364197,0.13633545121781754,0.004441272346630993,0.893511974811554,0.01645397886904399,213.2,,5.0
MLP_ReLU_64,147.57118225097656,18.684810638427734,12.12387466430664,0.7634444832801819,9.872239112854004,0.553939163684845,0.37546132077167405,0.022322623095971297,0.4692823886871338,0.043177925673367305,82.8,5.0,
MLP_LeakyReLU_64,148.8617706298828,19.65033721923828,12.173784255981445,0.8128688335418701,9.839442253112793,0.5498833656311035,0.3724202313618104,0.02288727031269684,0.4649402260780334,0.046571236242046156,83.2,5.0,
MLP_GELU_64,100.35284423828125,9.27874755859375,10.006792068481445,0.46579405665397644,8.016298294067383,0.35184696316719055,0.30369802681002517,0.01071770204094599,0.6351934313774109,0.055009520492446985,122.4,5.0,
DecisionTree,41.50803721143474,6.896919113105112,6.419771192408769,0.5427476840606748,4.2206181229773465,0.3201230136615375,0.14744999409594164,0.011705657645187223,0.8513911037169463,0.015359523341101699,,,
LinearRegression,110.9949781235493,17.15731748580565,10.504273747233869,0.8094511515358073,8.341698043038189,0.6740656518344343,0.31744958813539664,0.022857744285460526,0.6006959620275699,0.04781821774039863,,,
